lift,drag,mach,aoa
2.2840938469077066,-0.006891899577561755,0.51,0.5
2.5323180740421756,-0.0076962393462287615,0.535,0.5
2.79675358059897,-0.008566629178624607,0.56,0.5
3.0781489312231898,-0.009507455585428204,0.585,0.5
3.37741684959349,-0.01052520926510292,0.61,0.5
3.6956205195553555,-0.011626852020860667,0.635,0.5
4.033774773544931,-0.012820913454812732,0.66,0.5
4.39333787348849,-0.014116963825422824,0.685,0.5
4.775757833594507,-0.015525335048681033,0.71,0.5
5.182755666140968,-0.01705909122233873,0.735,0.5
5.616326299554404,-0.01873415026309555,0.76,0.5
6.092570032015012,-0.020665441803771056,0.785,0.5
6.649761571797546,-0.02313628805031298,0.81,0.5
7.293527281979859,-0.02622098987476118,0.835,0.5
8.026679852384339,-0.029953389652671802,0.86,0.5
8.722037609971064,-0.0333744397548692,0.885,0.5
9.480395402446723,-0.03719349847022535,0.91,0.5
10.31530161681142,-0.041511119225871695,0.935,0.5
11.227211464989736,-0.04626834853360151,0.96,0.5
12.215605280763814,-0.05144023139451903,0.985,0.5
13.278826556633014,-0.05691851619067023,1.01,0.5
14.414067447483369,-0.06260240023050656,1.035,0.5
15.617118132759002,-0.0682886900993509,1.06,0.5
16.882906906840734,-0.07383607353223098,1.085,0.5
18.20391602512952,-0.07948677970734863,1.11,0.5
19.5723547611567,-0.08518855066670739,1.135,0.5
19.756159536086077,-0.08215023080239803,1.16,0.5
18.666547655738707,-0.07169095557021876,1.185,0.5
18.23043651966776,-0.06721822127168764,1.21,0.5
17.932974291339097,-0.0642272902944967,1.235,0.5
17.69292046387387,-0.0619476575887461,1.26,0.5
17.500478701815755,-0.06017727366066339,1.285,0.5
17.345705914891674,-0.05876270695389252,1.31,0.5
17.23078540959847,-0.05763361607399986,1.335,0.5
17.165367034924852,-0.057049409443237664,1.36,0.5
17.13722584955374,-0.05673551671731403,1.385,0.5
17.13695856945801,-0.0565496356051689,1.41,0.5
17.15943677165493,-0.056466690229235894,1.435,0.5
17.202182697476932,-0.05647201300598326,1.46,0.5
17.26144383697671,-0.05655082367167097,1.485,0.5
0.0013526122083250902,-3.1788039887396813e-6,0.01,0.6
0.012161428242833455,-4.015678220200408e-5,0.035,0.6
0.03557386369550797,-0.0001197751617521281,0.06,0.6
0.07132944900840055,-0.00024211948035701703,0.085,0.6
0.11951973081947007,-0.00040674363108646194,0.11,0.6
0.18028856278991118,-0.0006142129119144218,0.135,0.6
0.25370821138436717,-0.0008651235830547388,0.16,0.6
0.33989917760811783,-0.0011609672526076975,0.185,0.6
0.4390397916939511,-0.0015027848691392676,0.21,0.6
0.5512194513743696,-0.0018921156879737056,0.235,0.6
0.6768756844530504,-0.0023287927525879604,0.26,0.6
0.8160638244683035,-0.002817282431670287,0.285,0.6
0.9691717721317438,-0.0033572538529856866,0.31,0.6
1.1364410636954816,-0.003952344337308178,0.335,0.6
1.3183534504559218,-0.004603502876863619,0.36,0.6
1.5151922814543284,-0.0053153802312885245,0.385,0.6
1.7274211281039835,-0.006090008440581052,0.41,0.6
1.9555580592179258,-0.006931586313837501,0.435,0.6
2.2001560104336226,-0.007844359989853777,0.46,0.6
2.461830827622664,-0.008832986070343107,0.485,0.6
2.7412665595794152,-0.009902546450277105,0.51,0.6
3.0391075502038136,-0.011059629701743345,0.535,0.6
3.356562728736307,-0.012309165862967708,0.56,0.6
3.6942890974538454,-0.013661142266887971,0.585,0.6
4.053463306940138,-0.015123724690914386,0.61,0.6
4.435353814970896,-0.0167066819775461,0.635,0.6
4.841300652025629,-0.01842170723562142,0.66,0.6
5.272748957116776,-0.020284190807064117,0.685,0.6
5.7317175131774025,-0.022308104768747228,0.71,0.6
6.220182431880514,-0.02451173119423622,0.735,0.6
6.740553477367268,-0.026918775072263923,0.76,0.6
7.312183849574186,-0.02969486947850175,0.785,0.6
7.981190591771716,-0.03325126475189499,0.81,0.6
8.754347771774134,-0.03768817212704967,0.835,0.6
9.635044060922356,-0.04306218701708886,0.86,0.6
10.470652541785437,-0.047983745942472567,0.885,0.6
